year,sex,race,hispanic_origin,age,marital_status,household_income,population,region,residence_location,victim_offender_relationship,weapon_category,crime_type,injury,incident_location
2009,male,black,hispanic,50 to 64,divorced,7500 - 14999,1000000 or more,midwest,urban,stranger,no weapon,robbery,no,at or near victim's home
2009,male,white,hispanic,18 to 20,never married,35000 - 49999,100000 - 249999,south,urban,unknown relationship,other,aggravated assault,no,school
2009,female,other,non-hispanic,25 to 34,never married,less than 7500,100000 - 249999,midwest,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,25 to 34,never married,75000 or more,100000 - 249999,midwest,urban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,50 to 64,married,75000 or more,500000 - 999999,south,urban,well-known acquaintances,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,50 to 64,divorced,7500 - 14999,100000 - 249999,midwest,urban,well-known acquaintances,no weapon,simple assault,yes,at or near victim's home
2009,female,white,non-hispanic,35 to 49,divorced,35000 - 49999,under 100000,south,urban,other relatives,no weapon,simple assault,yes,at or near victim's home
2009,female,black,non-hispanic,21 to 24,never married,unknown,250000 - 499999,south,urban,well-known acquaintances,do not know,simple assault,yes,at or near victim's home
2009,female,black,non-hispanic,21 to 24,never married,unknown,250000 - 499999,south,urban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,black,non-hispanic,35 to 49,married,75000 or more,not a place,south,suburban,stranger,other,aggravated assault,no,at or near friend neighbor or relative home
2009,female,other,hispanic,12 to 14,never married,unknown,100000 - 249999,midwest,urban,well-known acquaintances,other,aggravated assault,yes,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,married,unknown,100000 - 249999,midwest,urban,well-known acquaintances,no weapon,simple assault,no,school
2009,female,white,non-hispanic,50 to 64,married,unknown,100000 - 249999,midwest,urban,well-known acquaintances,no weapon,simple assault,no,school
2009,male,white,non-hispanic,21 to 24,never married,75000 or more,under 100000,south,suburban,well-known acquaintances,other,aggravated assault,yes,at or near victim's home
2009,female,white,hispanic,35 to 49,married,15000 - 24999,under 100000,south,urban,stranger,no weapon,simple assault,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,50 to 64,widowed,unknown,under 100000,south,urban,stranger,no weapon,simple assault,yes,at or near victim's home
2009,male,white,hispanic,15 to 17,never married,50000 - 74999,under 100000,south,suburban,unknown relationship,do not know,robbery,no,at or near victim's home
2009,male,white,non-hispanic,12 to 14,never married,75000 or more,not a place,south,suburban,stranger,no weapon,simple assault,yes,commercial place parking lot or public area
2009,female,white,hispanic,35 to 49,divorced,unknown,under 100000,midwest,rural,well-known acquaintances,firearm,aggravated assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,50 to 64,married,75000 or more,not a place,midwest,suburban,well-known acquaintances,no weapon,simple assault,yes,school
2009,male,black,non-hispanic,12 to 14,never married,unknown,under 100000,midwest,suburban,well-known acquaintances,no weapon,simple assault,no,school
2009,male,black,non-hispanic,15 to 17,never married,unknown,under 100000,midwest,urban,well-known acquaintances,no weapon,robbery,no,school
2009,male,black,non-hispanic,15 to 17,never married,unknown,under 100000,midwest,urban,well-known acquaintances,other,aggravated assault,no,at or near victim's home
2009,male,black,non-hispanic,15 to 17,never married,unknown,under 100000,midwest,urban,well-known acquaintances,other,aggravated assault,no,at or near victim's home
2009,female,white,non-hispanic,50 to 64,widowed,less than 7500,under 100000,midwest,suburban,stranger,no weapon,simple assault,yes,other location
2009,male,black,non-hispanic,25 to 34,never married,15000 - 24999,under 100000,south,suburban,well-known acquaintances,no weapon,aggravated assault,yes,commercial place parking lot or public area
2009,male,black,non-hispanic,15 to 17,never married,25000 - 34999,under 100000,midwest,urban,other relatives,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,married,35000 - 49999,not a place,south,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,35 to 49,married,25000 - 34999,not a place,south,suburban,unknown relationship,no weapon,aggravated assault,yes,at or near victim's home
2009,male,other,hispanic,50 to 64,divorced,less than 7500,not a place,south,suburban,stranger,firearm,robbery,no,at or near victim's home
2009,male,white,hispanic,50 to 64,married,50000 - 74999,not a place,south,suburban,stranger,firearm,robbery,no,commercial place parking lot or public area
2009,male,white,non-hispanic,15 to 17,never married,75000 or more,not a place,south,suburban,unknown relationship,no weapon,simple assault,no,school
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,suburban,intimates,no weapon,simple assault,yes,at or near victim's home
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,suburban,intimates,no weapon,simple assault,no,at or near victim's home
2009,male,white,hispanic,35 to 49,divorced,unknown,under 100000,west,suburban,other relatives,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,18 to 20,never married,less than 7500,100000 - 249999,west,urban,unknown relationship,unknown weapon type,aggravated assault,yes,at or near friend neighbor or relative home
2009,female,white,hispanic,50 to 64,divorced,7500 - 14999,under 100000,west,urban,well-known acquaintances,other,aggravated assault,no,commercial place parking lot or public area
2009,male,white,hispanic,50 to 64,married,75000 or more,100000 - 249999,west,urban,stranger,firearm,aggravated assault,no,commercial place parking lot or public area
2009,female,other,non-hispanic,50 to 64,married,75000 or more,under 100000,west,suburban,unknown number of offenders,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,other,non-hispanic,50 to 64,married,unknown,250000 - 499999,west,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,black,non-hispanic,65 and older,married,25000 - 34999,under 100000,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,65 and older,married,25000 - 34999,under 100000,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,65 and older,married,25000 - 34999,under 100000,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,65 and older,married,25000 - 34999,under 100000,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,65 and older,married,25000 - 34999,under 100000,west,urban,stranger,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,18 to 20,never married,75000 or more,under 100000,northeast,suburban,stranger,do not know,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,12 to 14,never married,75000 or more,under 100000,south,suburban,stranger,no weapon,simple assault,no,school
2009,male,white,non-hispanic,21 to 24,never married,15000 - 24999,100000 - 249999,west,urban,stranger,no weapon,simple assault,no,other location
2009,female,white,non-hispanic,65 and older,married,50000 - 74999,under 100000,south,suburban,well-known acquaintances,no weapon,simple assault,no,at or near friend neighbor or relative home
2009,male,black,non-hispanic,25 to 34,never married,35000 - 49999,1000000 or more,south,urban,stranger,knife,aggravated assault,yes,commercial place parking lot or public area
2009,female,white,non-hispanic,50 to 64,divorced,unknown,under 100000,northeast,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,35 to 49,never married,25000 - 34999,500000 - 999999,south,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,never married,25000 - 34999,500000 - 999999,south,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,hispanic,21 to 24,married,25000 - 34999,not a place,south,suburban,well-known acquaintances,knife,aggravated assault,yes,at or near victim's home
2009,male,white,hispanic,50 to 64,never married,unknown,under 100000,northeast,suburban,unknown relationship,no weapon,simple assault,no,other location
2009,female,white,hispanic,50 to 64,divorced,unknown,250000 - 499999,south,urban,other relatives,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,35 to 49,married,75000 or more,under 100000,northeast,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,female,black,non-hispanic,25 to 34,never married,50000 - 74999,100000 - 249999,south,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,black,non-hispanic,35 to 49,divorced,35000 - 49999,1000000 or more,northeast,urban,stranger,firearm,robbery,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,50 to 64,married,75000 or more,under 100000,south,suburban,well-known acquaintances,other,aggravated assault,no,commercial place parking lot or public area
2009,male,white,non-hispanic,65 and older,married,7500 - 14999,under 100000,south,suburban,stranger,no weapon,simple assault,no,at or near victim's home
2009,male,white,non-hispanic,25 to 34,never married,25000 - 34999,under 100000,south,urban,stranger,no weapon,simple assault,no,commercial place parking lot or public area
2009,male,other,non-hispanic,25 to 34,divorced,less than 7500,under 100000,south,rural,stranger,no weapon,aggravated assault,yes,at or near friend neighbor or relative home
2009,female,white,non-hispanic,50 to 64,never married,unknown,under 100000,northeast,suburban,stranger,other,robbery,yes,commercial place parking lot or public area
2009,male,white,non-hispanic,25 to 34,married,25000 - 34999,not a place,south,suburban,stranger,do not know,simple assault,no,commercial place parking lot or public area
2009,female,white,non-hispanic,18 to 20,never married,15000 - 24999,under 100000,south,rural,stranger,no weapon,simple assault,yes,at or near victim's home
2009,male,other,non-hispanic,18 to 20,never married,7500 - 14999,under 100000,south,urban,well-known acquaintances,no weapon,simple assault,yes,at or near victim's home
2009,male,other,non-hispanic,18 to 20,never married,7500 - 14999,under 100000,south,urban,stranger,no weapon,simple assault,yes,at or near victim's home
2009,male,black,non-hispanic,35 to 49,married,75000 or more,100000 - 249999,west,suburban,intimates,no weapon,simple assault,yes,other location
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,25 to 34,never married,unknown,under 100000,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,35 to 49,married,25000 - 34999,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,at or near victim's home
2009,female,white,non-hispanic,21 to 24,never married,unknown,500000 - 999999,west,urban,intimates,no weapon,simple assault,no,at or near victim's home
2009,female,black,non-hispanic,15 to 17,never married,unknown,not a place,west,suburban,stranger,no weapon,simple assault,no,school
2009,female,black,non-hispanic,15 to 17,never married,unknown,not a place,west,suburban,stranger,no weapon,simple assault,no,school
2009,male,white,non-hispanic,50 to 64,divorced,35000 - 49999,under 100000,west,suburban,well-known acquaintances,no weapon,simple assault,no,other location
2009,female,white,non-hispanic,12 to 14,never married,15000 - 24999,under 100000,south,suburban,well-known acquaintances,no weapon,simple assault,yes,school
2009,female,white,non-hispanic,15 to 17,never married,15000 - 24999,1000000 or more,south,urban,stranger,do not know,personal theft,no,at or near victim's home
2009,female,white,non-hispanic,15 to 17,never married,15000 - 24999,1000000 or more,south,urban,stranger,no weapon,simple assault,no,school
2009,female,white,non-hispanic,15 to 17,never married,15000 - 24999,1000000 or more,south,urban,other relatives,no weapon,simple assault,no,at or near victim's home
